               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088458,            0.022518,                   0,             0.63073,             0.47009,             0.49917,             0.14752,            0.059363,            0.012187,                   0,            0.070201,            0.003311,            0.003311
                   1,            0.059692,            0.017011,                   0,             0.63603,             0.60741,             0.60839,             0.18277,             0.05086,            0.010019,                   0,            0.040136,           0.0065785,           0.0065785
                   2,            0.050867,            0.015011,                   0,             0.49041,             0.52822,              0.4912,             0.15002,            0.056956,           0.0077203,                   0,            0.010004,           0.0097801,           0.0097801
                   3,             0.04614,            0.012348,                   0,             0.77231,             0.83909,             0.82527,              0.3334,            0.039646,           0.0067497,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.040967,            0.010421,                   0,             0.90878,             0.91323,             0.92836,             0.47455,             0.03334,           0.0060645,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.037619,           0.0089238,                   0,             0.89573,             0.89806,             0.92289,             0.46282,            0.037324,           0.0053477,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.035688,           0.0078368,                   0,             0.92535,             0.91744,             0.94999,             0.53044,             0.03085,           0.0049939,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.034036,           0.0075578,                   0,             0.91893,             0.93579,             0.95429,             0.60078,            0.028137,           0.0048759,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.033534,           0.0074275,                   0,             0.94917,             0.92249,             0.95507,             0.59844,            0.027632,           0.0046927,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.031205,           0.0070911,                   0,             0.93055,             0.94821,             0.96324,             0.62339,            0.028698,           0.0045592,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.030674,           0.0064756,                   0,             0.93121,             0.94659,             0.95897,             0.58625,            0.029422,           0.0044953,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.029045,           0.0065977,                   0,             0.93297,             0.94861,             0.96419,              0.5922,              0.0279,            0.004342,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.028303,           0.0061137,                   0,              0.9464,             0.92839,             0.95808,              0.6076,            0.028723,           0.0043222,                   0,            0.008911,            0.008911,            0.008911
